---- New test begins
1575442233	green	-0.050270795822144	6.95	15	33
1575442234	yellow	-0.015928030014038	7	15	33
1575442235	red	6.2211408615112	7.25	15	33
1575442236	red	5.4571416378021	7.5	15	33
1575442237	red	4.6830523014069	7.75	15	33
1575442238	red	3.920095205307	8.0	15	33
1575442239	red	3.1462738513947	8.25	15	33
1575442240	red	2.3853876590729	8.5	15	33
1575442241	red	1.4183216094971	8.55	0	0
1575442242	red	0.39464068412781	8.55	5	3
1575442243	green	6.3865189552307	7	3	4
1575442244	green	5.2231631278992	6.85	1	4
1575442245	green	3.7016055583954	6.35	0	4
1575442246	green	2.1854701042175	5.85	0	4
1575442247	green	0.66890144348145	5.35	0	4
1575442248	yellow	0.5935161113739	7	0	4
1575442249	red	6.591322183609	7	0	0
1575442250	red	5.5695950984955	7	0	0
1575442251	red	4.5504140853882	7	2	1
1575442252	red	3.5311629772186	7	6	4
1575442253	red	2.5155131816864	7	13	9
1575442254	red	1.4996440410614	7	19	14
1575442255	red	0.47775411605835	7	27	25
1575442256	green	6.5935869216919	7	16	31
1575442257	green	5.3240473270416	6.75	12	40
1575442258	green	4.05672955513	6.5	11	41
1575442259	green	2.7396247386932	6.2	9	43
1575442260	green	1.274001121521	5.75	10	44
1575442261	green	-0.19574928283691	5.3	14	51
1575442262	yellow	-0.015462160110474	7	18	62
1575442263	red	6.0286009311676	7.05	20	24
1575442264	red	5.0114078521729	7.05	24	18
1575442265	red	3.9961059093475	7.05	40	26
1575442266	red	2.9732189178467	7.05	57	37
1575442267	red	1.9587600231171	7.05	75	42
1575442268	red	0.94055700302124	7.05	108	70
1575442269	red	-0.073472023010254	7.05	140	102
1575442270	green	5.9846050739288	7	135	155
1575442271	green	4.9681899547577	7	140	201
1575442272	green	3.9529430866241	7	137	216
1575442273	green	2.9388279914856	7	135	216
1575442274	green	1.8206532001495	6.9	101	216
1575442275	green	0.55630946159363	6.65	69	216
1575442276	yellow	0.59355783462524	7	40	216
1575442277	red	6.7897458076477	7.2	34	209
1575442278	red	6.5233263969421	7.95	33	211
1575442279	red	6.0064079761505	8.45	36	205
1575442280	red	5.4880013465881	8.95	43	189
1575442281	red	4.8237011432648	9.3	45	166
1575442282	red	4.056147813797	9.55	49	134
1575442283	red	3.186767578125	9.7	56	101
1575442285	red	2.1702587604523	9.7	61	70
1575442286	red	1.1517527103424	9.7	73	53
1575442287	red	0.13310980796814	9.7	90	59
1575442288	green	6.191498041153	7	62	81
1575442289	green	5.1705720424652	7	67	94
1575442290	green	4.151703119278	7	61	123
1575442291	green	2.8914713859558	6.75	58	139
1575442292	green	1.6281225681305	6.5	68	162
1575442293	green	0.36408185958862	6.25	76	175
1575442294	yellow	0.38503694534302	7	95	196
1575442295	red	6.3902170658112	7	106	180
1575442296	red	5.3752281665802	7	123	169
1575442297	red	4.3583781719208	7	133	161
1575442298	red	3.3426051139832	7	137	145
1575442299	red	2.3214001655579	7	138	132
1575442300	red	1.3030371665955	7	142	128
1575442301	red	0.28833699226379	7	142	136
1575442302	green	6.3870630264282	7	123	136
1575442303	green	5.3667562007904	7	108	147
1575442304	green	4.3524901866913	7	101	153
1575442305	green	3.3352119922638	7	79	158
1575442306	green	2.0702023506165	6.75	63	167
1575442307	green	0.80183362960815	6.5	59	174
1575442308	yellow	0.79911494255066	7	59	187
1575442309	red	6.845086812973	7.05	68	188
1575442310	red	6.0821375846863	7.3	79	167
1575442311	red	5.1661775112152	7.4	91	147
1575442312	red	4.1488995552063	7.4	100	130
1575442313	red	3.1321306228638	7.4	110	117
1575442314	red	2.1155066490173	7.4	116	106
1575442315	red	1.0998725891113	7.4	121	109
1575442316	red	0.083606481552124	7.4	129	113
1575442317	green	6.194885969162	7	97	118
1575442318	green	5.169823884964	7	75	128
1575442319	green	4.1602628231049	7	77	147
1575442320	green	3.1446988582611	7	87	158
1575442321	green	2.1288979053497	7	105	167
