---- New test begins
averageLogTime	averageOrderTime	averageActiveTime
0.00091628355702563	0.00095773935317993	0.005823016166687
averageLogTime	averageOrderTime	averageActiveTime	averageSyncSetTime	averageSyncGetTime
0.15089526772499	0.24843597412109	0.14991021156311	0.15150257110596	0.15165018200874
0.15077302190993	0.24234294891357	0.15318512916565	0.15123989067826	0.15162061214447
0.15202569961548	0.2489800453186	0.15453195571899	0.15198369503021	0.15222350478172
0.15566778182983	0.23466610908508	0.15710496902466	0.1560248744731	0.15624354034662
0.15586651696099	0.23702311515808	0.15853500366211	0.15649315775657	0.15637977172931
0.15519621637132	0.23467898368835	0.15845012664795	0.15639713345742	0.15633775045474
0.15578611691793	0.23701000213623	0.1588921546936	0.15680131133722	0.15634120379885
0.15473789638943	0.23444414138794	0.15868091583252	0.15665336044467	0.15625788271427
0.151541656918	0.24123406410217	0.15440988540649	0.15329209804535	0.1529518195561
0.15623275438944	0.23460984230042	0.1586229801178	0.15619239515188	0.15633798142274
