---- New test begins
averageLogTime	averageOrderTime	averageActiveTime
0.0092415084491232	0.0097884570851045	0.016497691472371
averageLogTime	averageOrderTime	averageActiveTime	averageSyncSetTime	averageSyncGetTime
0.16698827463038	0.15103006362915	0.1493079662323	0.16004130244255	0.15730098006772
0.16595632500119	0.15356802940369	0.15712881088257	0.16543973445892	0.16399158070786
0.16525860393749	0.14969205856323	0.14953899383545	0.16097382628001	0.15720105112768
0.16747152104097	0.15522384643555	0.15570116043091	0.16430313110352	0.16441896527705
0.17651658899644	0.15385484695435	0.15570282936096	0.16322063207626	0.16427780582447
0.16880541689256	0.15495300292969	0.1571638584137	0.1651881146431	0.16428984235031
0.16809701919556	0.15384006500244	0.15465402603149	0.16702178239822	0.16435714622941
0.17462656077217	0.16270184516907	0.16132497787476	0.16832495927811	0.16441037076892
0.15905586410971	0.15001010894775	0.15037298202515	0.15783816865347	0.15830743371272
0.17556118965149	0.15359497070312	0.15612006187439	0.16257206678391	0.16383001960889
0.16665440135532	0.15495204925537	0.1614191532135	0.16402245283127	0.16368699916685
0.17010099747602	0.16297101974487	0.16129899024963	0.16612927841418	0.16426702460857
0.17257150481729	0.15788197517395	0.16087818145752	0.16762923712682	0.16598084812262
0.17358687344719	0.15510106086731	0.15843415260315	0.16647365570068	0.16424575959793
0.16921332303215	0.15262579917908	0.15834999084473	0.16410528551234	0.16362459852238
0.16685035649468	0.1496729850769	0.15876507759094	0.16310472011566	0.16416808089825
0.16253038013683	0.15634799003601	0.15715599060059	0.16150264138157	0.15795982468362
0.16885520430172	0.15476012229919	0.15362906455994	0.16412492752075	0.16424304246902
0.16948390007019	0.16002488136292	0.15794992446899	0.16458943367004	0.16425656790685
0.1682661561405	0.16016507148743	0.15643310546875	0.16339405536652	0.16424316408658
0.16304368442959	0.14948105812073	0.1523768901825	0.16186032248932	0.1586968285196
0.1690168801476	0.15864396095276	0.15800499916077	0.16539161205292	0.16448092701459
0.1724878058714	0.15735697746277	0.16031193733215	0.16933003098074	0.16673229650124
0.1650591161516	0.15509819984436	0.15057396888733	0.1578776928985	0.15783099567189
0.16914677619934	0.15755295753479	0.16081404685974	0.16758812203699	0.16726512515668
0.17671816489276	0.16025805473328	0.15711092948914	0.16609430794764	0.16581741887696
0.1753316486583	0.15476417541504	0.15694093704224	0.16311236143112	0.16414041230173
0.16612602682675	0.14837121963501	0.14934587478638	0.15966708451799	0.15851085384687
0.16794067270616	0.15873599052429	0.15728497505188	0.16349030017853	0.16437790730987
0.17227478588329	0.15468382835388	0.15571713447571	0.16636563539505	0.16451864290719
0.16942512287813	0.15648198127747	0.15668702125549	0.16511739865698	0.16718098764517
0.17036799823537	0.16286301612854	0.160649061203	0.17007930008406	0.16835227484504
0.17159125384162	0.16014814376831	0.15577793121338	0.16492063830597	0.166137107781
0.17263045030482	0.15362691879272	0.15700817108154	0.16632961988449	0.16403150498265
0.16165113449097	0.14917588233948	0.15089106559753	0.16112148646012	0.1580251168971
0.17399918331819	0.15500903129578	0.15660309791565	0.16657070636749	0.16462239412346
0.15757072673124	0.15055990219116	0.15101599693298	0.15757144770576	0.15822718155037
0.1744261489195	0.1588888168335	0.1566309928894	0.16772461652756	0.16424926423063
0.17792884041281	0.15759587287903	0.15792202949524	0.16431496620178	0.16419081013612
0.17517171186559	0.1576030254364	0.15602707862854	0.16272317171097	0.1639812564609
0.16587385009317	0.15227603912354	0.15142703056335	0.16133766961329	0.15825205807592
0.16444082821117	0.15500712394714	0.15163493156433	0.16146582365036	0.15823987769146
0.16859992812662	0.15759515762329	0.15792798995972	0.16292963504791	0.16379831294821
0.16100765677059	0.15479803085327	0.1515531539917	0.16065161205032	0.15798262930384
0.16395316404455	0.15122985839844	0.14849781990051	0.15874151581699	0.15809244151209
0.16444900456597	0.15760207176208	0.15776801109314	0.16108835458755	0.16422652054315
0.16770507307614	0.15739989280701	0.1583092212677	0.16384555339813	0.16410434607304
0.16863292806289	0.15839910507202	0.15712094306946	0.16423206567764	0.16352908418636
0.16841487089793	0.15742111206055	0.15803503990173	0.16658067941666	0.16425220593058
0.17741412274978	0.15758895874023	0.1573851108551	0.16429091215134	0.1645414576386
